list_date,list_price,sold_date,sold_price,beds,baths,sqft,lot_sqft,city,street,zip,latitude,longitude
2025-01-13,309999,2025-02-20,335000,3,2.0,1680,9278,Saint Paul,1668 Clear Ave,55106,44.981782,-93.029915
2024-10-16,237000,2025-02-14,237000,3,2.0,1200,4792,Saint Paul,984 Cook Ave E,55106,44.972759,-93.058994
2025-03-06,214900,2025-04-14,230000,2,2.0,763,6098,Saint Paul,2072 Case Ave E,55119,44.970036,-93.013181
2024-11-14,165000,2024-12-18,180000,3,1.0,997,4922,Saint Paul,1378 Lafond Ave,55104,44.95996,-93.158406
2025-04-15,279000,2025-05-30,290000,3,1.0,1737,5009,Saint Paul,1838 Arlington Ave E,55119,44.98446,-93.022625
2025-04-22,249900,2025-06-06,295000,3,1.5,1521,6098,Saint Paul,1644 Nevada Ave E,55106,44.985395,-93.031138
2024-10-03,285000,2024-12-31,280000,3,1.0,1418,10019,Saint Paul,663 Idaho Ave E,55106,44.990375,-93.072565
2025-04-16,219900,2025-05-30,224000,3,1.0,1152,8538,Saint Paul,1453 7th St E,55106,44.967,-93.039031
2025-02-15,445000,2025-04-03,480022,4,3.0,2112,4792,Saint Paul,855 Tuscarora Ave,55102,44.92353,-93.136083
2025-04-10,299900,2025-06-06,310000,4,2.0,1667,6534,Saint Paul,1078 Kingsford St,55106,44.97384,-93.028731
2025-05-08,359900,2025-06-06,345000,2,2.0,1428,9540,Saint Paul,1339 Maywood St,55117,44.98154,-93.127919
2025-04-28,575000,2025-05-29,610000,3,2.0,1849,4966,Saint Paul,880 Osceola Ave,55105,44.935446,-93.137367
2025-05-01,420000,2025-05-27,442750,3,2.5,1814,7492,Saint Paul,1381 Nebraska Ave W,55108,44.986696,-93.158433
2025-04-24,314900,2025-05-27,325000,3,1.5,918,4966,Saint Paul,882 Bayard Ave,55102,44.922127,-93.137404
2024-11-25,375000,2025-01-03,365000,3,2.5,1435,5227,Saint Paul,1659 Fernwood St,55108,44.991212,-93.151727
2025-02-18,825000,2025-03-31,825000,6,3.5,3113,6403,Saint Paul,496 Marshall Ave,55102,44.948277,-93.121098
